iter	Passed	Remaining
0	160	160343
1	193	96671
2	215	71756
3	237	59200
4	259	51596
5	281	46616
6	303	42993
7	324	40212
8	346	38133
9	367	36374
10	390	35110
11	414	34115
12	440	33452
13	467	32946
14	492	32345
15	519	31935
16	543	31407
17	575	31382
18	599	30968
19	625	30638
20	655	30539
21	684	30418
22	711	30233
23	736	29945
24	765	29837
25	805	30186
26	831	29960
27	855	29711
28	876	29341
29	899	29072
30	920	28773
31	943	28527
32	966	28330
33	991	28177
34	1018	28076
35	1045	27999
36	1069	27829
37	1092	27645
38	1113	27442
39	1143	27434
40	1165	27259
41	1186	27053
42	1218	27109
43	1242	26986
44	1264	26834
45	1287	26692
46	1308	26538
47	1330	26391
48	1350	26210
49	1371	26059
50	1395	25958
51	1419	25880
52	1440	25745
53	1465	25665
54	1485	25529
55	1514	25531
56	1536	25424
57	1561	25354
58	1583	25260
59	1614	25295
60	1638	25225
61	1660	25114
62	1679	24975
63	1699	24858
64	1721	24765
65	1744	24688
66	1766	24593
67	1789	24533
68	1811	24437
69	1835	24381
70	1856	24289
71	1879	24221
72	1916	24335
73	1945	24344
74	1966	24258
75	1994	24246
76	2016	24167
77	2038	24094
78	2060	24021
79	2081	23938
80	2103	23871
81	2126	23810
82	2150	23753
83	2179	23766
84	2202	23708
85	2224	23641
86	2244	23553
87	2265	23478
88	2286	23407
89	2306	23324
90	2328	23255
91	2349	23193
92	2371	23132
93	2393	23068
94	2413	22988
95	2434	22922
96	2456	22866
97	2486	22887
98	2508	22828
99	2531	22786
100	2555	22749
101	2581	22726
102	2602	22667
103	2625	22618
104	2645	22552
105	2669	22514
106	2690	22454
107	2711	22392
108	2737	22380
109	2759	22327
110	2780	22269
111	2804	22232
112	2824	22169
113	2846	22121
114	2868	22071
115	2888	22015
116	2911	21972
117	2934	21934
118	2960	21919
119	2988	21914
120	3014	21895
121	3036	21855
122	3058	21807
123	3080	21760
124	3102	21720
125	3122	21657
126	3143	21608
127	3165	21563
128	3188	21527
129	3209	21480
130	3233	21452
131	3262	21452
132	3286	21423
133	3308	21382
134	3330	21336
135	3351	21288
136	3374	21256
137	3404	21268
138	3430	21246
139	3467	21298
140	3491	21272
141	3519	21267
142	3543	21235
143	3572	21234
144	3593	21189
145	3616	21155
146	3638	21113
147	3659	21065
148	3680	21023
149	3702	20981
150	3724	20938
151	3747	20906
152	3773	20888
153	3793	20841
154	3815	20800
155	3841	20780
156	3861	20736
157	3884	20698
158	3904	20654
159	3926	20612
160	3949	20579
161	3976	20570
162	4002	20552
163	4023	20512
164	4113	20815
165	4134	20773
166	4158	20742
167	4182	20711
168	4211	20710
169	4232	20664
170	4255	20628
171	4277	20589
172	4297	20545
173	4317	20497
174	4339	20455
175	4360	20417
176	4381	20373
177	4407	20353
178	4436	20347
179	4465	20343
180	4489	20312
181	4512	20280
182	4534	20243
183	4555	20202
184	4577	20164
185	4600	20131
186	4626	20114
187	4649	20081
188	4670	20040
189	4693	20008
190	4718	19984
191	4739	19944
192	4761	19908
193	4783	19872
194	4804	19834
195	4827	19801
196	4850	19772
197	4877	19758
198	4899	19722
199	4922	19689
200	4943	19651
201	4976	19658
202	4996	19617
203	5016	19575
204	5034	19522
205	5051	19470
206	5067	19411
207	5085	19365
208	5105	19323
209	5121	19266
210	5137	19209
211	5154	19158
212	5170	19103
213	5185	19046
214	5202	18993
215	5218	18942
216	5234	18887
217	5249	18831
218	5264	18774
219	5279	18718
220	5296	18670
221	5313	18620
222	5335	18589
223	5353	18544
224	5370	18497
225	5388	18455
226	5404	18405
227	5421	18358
228	5443	18327
229	5459	18276
230	5475	18227
231	5489	18172
232	5506	18125
233	5522	18077
234	5537	18027
235	5553	17978
236	5571	17936
237	5585	17884
238	5607	17854
239	5623	17807
240	5639	17762
241	5656	17718
242	5674	17677
243	5689	17629
244	5705	17581
245	5721	17536
246	5735	17484
247	5750	17437
248	5767	17394
249	5786	17359
250	5808	17331
251	5825	17290
252	5841	17246
253	5856	17201
254	5871	17154
255	5889	17117
256	5908	17083
257	5925	17040
258	5940	16995
259	5955	16949
260	5972	16912
261	5994	16883
262	6018	16866
263	6045	16854
264	6070	16836
265	6096	16821
266	6119	16800
267	6146	16787
268	6171	16770
269	6195	16751
270	6227	16751
271	6251	16731
272	6276	16715
273	6300	16694
274	6325	16675
275	6351	16660
276	6379	16651
277	6406	16637
278	6428	16611
279	6449	16585
280	6471	16559
281	6494	16536
282	6518	16513
283	6540	16488
284	6561	16462
285	6582	16433
286	6603	16405
287	6624	16377
288	6643	16344
289	6661	16310
290	6684	16285
291	6707	16263
292	6729	16238
293	6752	16215
294	6778	16198
295	6800	16174
296	6822	16147
297	6843	16122
298	6870	16108
299	6891	16079
300	6911	16050
301	6931	16019
302	6951	15991
303	6974	15968
304	6995	15941
305	7015	15911
306	7038	15888
307	7060	15862
308	7076	15825
309	7098	15799
310	7121	15776
311	7137	15739
312	7157	15710
313	7194	15718
314	7242	15750
315	7265	15726
316	7281	15689
317	7303	15662
318	7323	15634
319	7349	15617
320	7372	15595
321	7393	15566
322	7414	15540
323	7437	15518
324	7458	15491
325	7476	15456
326	7498	15432
327	7521	15410
328	7538	15374
329	7558	15346
330	7575	15311
331	7598	15289
332	7620	15263
333	7637	15228
334	7653	15193
335	7671	15159
336	7693	15135
337	7720	15120
338	7738	15089
339	7756	15057
340	7773	15023
341	7790	14988
342	7813	14966
343	7830	14933
344	7847	14898
345	7864	14865
346	7881	14832
347	7899	14799
348	7915	14765
349	7933	14732
350	7951	14702
351	7968	14669
352	7992	14648
353	8018	14632
354	8035	14598
355	8054	14570
356	8074	14542
357	8092	14512
358	8108	14477
359	8125	14444
360	8147	14422
361	8166	14393
362	8184	14362
363	8201	14329
364	8217	14296
365	8233	14262
366	8249	14229
367	8265	14195
368	8282	14162
